,airport_code,airport_full_name
360,CHP,Circle Hot Springs Airport  Circle Hot Springs
361,CKU,City Airport  Cordova
362,HVR,City County Airport  Havre
363,JBT,City Landing Airport  Bethel
364,JID,City Of Industry H/P Airport  Los Angeles
365,MDJ,City-county Airport  Madras
366,EWK,City-County Airport  Newton
367,SEP,Clark Field Airport  Stephenville
368,CLP,Clarks Point Airport  Clarks Point
369,CAO,Clayton Airport  Clayton
370,CKE,Clear Lake Airport  Clear Lake
371,CWI,Clinton Airport  Clinton
372,PLB,Clinton County Airport  Plattsburgh
373,ILN,Clinton Field Airport  Wilmington
374,CLI,Clintonville Airport  Clintonville
375,CLG,Coalinga Airport  Coalinga
376,ERO,Coast Guard Airport  Eldred Rock
377,LRK,"Coast Guard Airport  Lincoln Rock, AK"
378,CSP,Coast Guard Heliport Airport  Cape Spencer
379,PRT,Coast Guard Heliport Airport  Point Retreat
380,TRP,Coast Guard Heliport Airport  Tree Point
381,CFA,Coffee Point Airport  Coffee Point
382,RCK,Coffield Airport  Rockdale
383,KCC,Coffman Cove SPB Airport  Coffman Cove
384,CDB,Cold Bay Airport  Cold Bay
385,CXF,Coldfoot Airport  Coldfoot
386,COM,Coleman Airport  Coleman
387,MTO,Coles County Memorial Airport  Mattoon
388,CGS,College Park Airport  College Park
389,KCR,Colorado Creek Airport  Colorado Creek
390,AKO,"Colorado Plains Regional Airport  Akron, CO"
391,COS,Colorado Springs Airport  Colorado Springs
392,COA,Columbia Airport  Columbia
393,DLS,Columbia Gorge Regional/The Dalles Municipal Airport  The Dalles
394,COU,Columbia Regional Airport  Columbia
395,CBM,"Columbus AFB Airport  Columbus, MS"
396,CLU,Columbus Municipal Airport  Columbus
397,OLU,"Columbus Municipal Airport  Columbus, NE"
398,JBP,Commerce Bus. Plaza Airport  Los Angeles
399,CPM,"Compton Airport  Compton, CA"
400,CON,Concord Airport  Concord
401,WSD,Condron AAF Airport  White Sands
402,JCE,Convention Center H/P Airport  Oakland
403,DGW,Converse County Airport  Douglas
404,COP,"Cooperstown - Westville Airport  Cooperstown, NY"
405,CZC,Copper Centre Airport  Copper Centre
406,LOZ,Corbin-London Airport  London
407,CRO,Corcoran Airport  Corcoran
408,CBA,Corner Bay Airport  Corner Bay
409,CRP,"Corpus Christi International Airport  Corpus Christi, TX"
410,CRS,Corsicana Airport  Corsicana
411,CTX,Cortland Airport  Cortland
412,CTW,Cottonwood Airport  Cottonwood
413,COT,Cotulla Airport  Cotulla
